Trait1	Trait2	TestControl	NetColoc	Parameter Tested	Bin Size	T	T*	Observed Size	Expected Size	log2COLOC Score	COLOC P	LenientOrStrict	SNP-to-Gene
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1	2	806	345.109	1.2237277408532996	4.2139999999999975e-181	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1.5	2	481	170.534	1.495977490574246	2.4149999999999987e-154	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	2	2	238	58.729	2.0188165956682216	1.2909999999999996e-135	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1	2.5	672	284.212	1.2414937636625942	1.4559999999999992e-143	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1.5	2.5	476	169.29	1.4914648181171608	3.6549999999999977e-143	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	2	2.5	238	58.759	2.018079825067525	5.1219999999999974e-142	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	2.5	2.5	113	17.657	2.678010623792973	3.9629999999999985e-120	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1	3	560	229.389	1.287630616400401	2.235999999999999e-138	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1.5	3	448	156.33	1.5189040716796236	4.266999999999998e-134	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	2	3	238	58.551	2.023195857510985	2.847999999999998e-133	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	2.5	3	113	17.829	2.6640250807454757	1.4239999999999994e-115	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	3	3	57	5.012	3.5075035995049686	4.333999999999998e-125	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1	3.5	472	182.793	1.3685760356826557	2.294999999999998e-124	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1.5	3.5	411	137.696	1.5776517433954602	1.1939999999999992e-145	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	2	3.5	238	58.681	2.019996211813707	7.436999999999998e-135	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	2.5	3.5	113	17.723	2.672628035712145	2.1539999999999983e-117	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	3	3.5	57	4.949	3.5257529719598257	7.044999999999996e-134	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	3.5	3.5	25	1.009	4.6309300153304545	3.1039999999999984e-138	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1	4	393	145.091	1.4375712807295797	1.1959999999999992e-107	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1.5	4	364	118.713	1.6164605204266063	1.8969999999999988e-137	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	2	4	238	58.862	2.0155531057368767	1.9039999999999989e-134	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	2.5	4	113	17.634	2.679891102704786	1.3899999999999993e-130	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	3	4	57	5.009	3.508367402568927	1.3179999999999991e-120	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	3.5	4	25	1.035	4.594225422050124	4.069999999999997e-118	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	4	4	15	0.281	5.738248560049679	1.0619999999999995e-172	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	bin	5	1	3	123	189.217	-0.621383396336441	8.947e-08	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	bin	10	1	3	126	190.702	-0.5978962403657049	4.78e-08	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	bin	20	1	3	133	189.676	-0.5121108981180928	8.382e-06	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	bin	40	1	3	119	176.281	-0.5669154122822927	1.96e-06	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	bin	80	1	3	131	184.673	-0.49540614165292823	5.032e-06	Lenient	S2G
