Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
alkaline phosphatase measurement	EFO_0004533	36809768	Rare	Continuous	Metabolic	Additional	Alkaline phosphatase measurement	1.0	UKB	393351.0	36809768	304	284358,2524,84224,169436,29989,249,2822,221037,432,284359,26291,3339,5909,6927,11183,6484,53345,147798,22981,5834,9856,9837,1548,4982,23587,11093,9750,85363,1463,127,84226,55630,11321,11094,94039,11182,57109,587,2064,57678,51473,1889,116443,1366,11181,94137,10948,2528,6835,57589,37,124997,85415,57523,9919,5345,59344,955,283358,23203,8890,26160,348,433,9700,4796,84881,84318,6838,80267,125,8647,51085,89894,57404,23173,948,9031,124626,8600,6621,1284,126668,5310,10019,64170,56673,137075,55062,51087,387733,10121,23499,269,402682,203074,8792,10437,55602,55759,54920,4775,23645,10410,284325,79890,114609,56848,54458,57664,23317,6560,6567,7366,10462,7288,3250,127733,128,83648,84769,23135,4924,8672,29062,57159,56672,4776,23035,4318,123904,9695,5866,1723,9145,9682,127623,3308,5927,30813,25853,2222,84062,51433,987,51061,283375,5465,54984,113201,284110,2525,2251,126147,25956,9546,57337,2875,1589,5192,79443,79696,150159,2444,23788,79142,29948,7629,164,9401,1209,3594,5184,91754,53904,51196,11025,84532,91828,7479,8884,2771,23051,27030,64147,27134,157285,4772,64114,84129,80723,7596,29066,342908,23460,162515,84138,55512,97,2626,126,84196,26191,1508,3626,25930,5105,242,51073,342372,57130,54790,2852,22823,3717,23546,6580,10509,10109,55094,388566,50999,7205,1549,4023,56676,29072,22937,9785,138715,83959,2523,90649,6239,93550,91862,2212,23436,9798,55054,10613,10466,148811,5900,3953,6820,55132,2048,27179,283871,65992,5027,9971,58986,10241,3996,4126,51449,55152,1300,54496,51335,27440,1557,256714,11078,28999,375748,23218,64764,6877,10906,54664,284352,55720,5931,2168,9509,146754,146722,84316,5934,7813,5688,338,6898,441381,79887,345275,114990,128853,1147,8927,343099,23509,9221,11117,6345,53,22837,10142,5467,1145,5340	-0.016743	0.9575	32097.0	14.0	0.0061075	12.135227592592592	53.0	1513.5	49.3465	1.026
lymphocyte count	EFO_0004587	34226706	Rare	Continuous	Immunological	Additional	Blood LYMPHOCYTE COUNT	0.9529233	UKB	443762.0	34226706	38	8877,23495,11200,4683,10019,177,5341,9294,3107,56244,7297,54518,388931,79969,472,2794,1589,59307,3383,81696,9046,167465,4855,3574,27250,283450,1901,64135,374403,3689,80724,3120,51744,55619,7706,64147,121599,7916	0.31034	1.0125	31125.5	19.5	0.007968295	11.927842833333331	52.0	1391.5	47.163	1.0208333333333335
low density lipoprotein cholesterol measurement	EFO_0004611	36280733	Rare	Continuous	Lipid Measurement	Additional	LDL-C	0.6864027	Mixed	74962.0	36280733	12	348,3949,255738,338,23460,29881,64240,350,6580,345,85302,27156	0.226435	1.2035	34234.5	34.0	0.00156894	8.693063275925926	11.0	2030.5	58.916	0.9605
HDL cholesterol change measurement	EFO_0007805	34662886	Rare	Continuous	Lipid Measurement	Additional	Hdl cholesterol (30760) measurement	0.87012553	UKB	378175.2262773723	34662886	25	345,19,949,1071,3990,5140,81579,9388,3717,4023,10019,27329,10062,3931,116519,5346,338,51129,948,55908,5468,335,6427,55532,84699	0.0090477	1.075	21922.0	31.0	0.00816304	12.01094651851852	38.0	1323.0	40.521	1.026
crohn's disease	EFO_0000384	20549515	Rare	Categorical	Gastrointestinal	Additional	Crohn's disease	1.0	WTCCC	4686.0	20549515	9	149233,5734,64127,10665,91975,8927,441376,84619,130951	0.46499	0.937	39489.0	15.0	0.00254795	2.734870907407408	15.0	1542.0	42.53	0.997
diastolic blood pressure	EFO_0006336	27980654	Rare	Continuous	Cardiovascular	Additional	Diastolic blood pressure	1.0000001	GAW19	1851.0	27980654	4	6462,54407,54816,23099	-0.0346395	0.649	26320.0	7.5	0.07238145	7.576160222222223	53.5	1331.5	49.743	1.0918333333333332
forced expiratory volume	EFO_0004314	37262146	Rare	Continuous	Respiratory	Additional	Forced_expiratory_volume_in_1_second_fev1	0.70612013	UKB	385013.0	37262146	24	9719,81794,57623,5654,55636,56981,115426,7273,84629,4864,256364,6526,55128,5046,3480,9146,91754,10226,54841,9611,2660,84948,4091,10818	-0.218925	0.6495	68339.0	22.0	0.038940050000000004	11.6067094537037	54.0	2292.0	100.57	1.1148461538461538
systolic blood pressure	EFO_0006335	34662886	Rare	Continuous	Cardiovascular	Additional	Systolic blood pressure automated reading (4080)	0.7318126	UKB	408148.5555555556	34662886	4	81578,57623,9351,7273	-1.33805	1.009	270037.0	13.0	0.02627965	7.982435545370371	46.0	3232.5	92.7655	1.03075
sex hormone-binding globulin measurement	EFO_0004696	34662886	Rare	Continuous	Endocrine	Additional	SHBG (30830) measurement	0.92637146	UKB	374766.9791666667	34662886	14	6462,9971,284114,81579,10462,3172,3171,54989,116840,4763,84938,91039,146754,6654	0.37136	0.767	35206.5	12.5	0.01401555	6.3544926666666655	48.0	1452.0	48.4885	1.0566666666666669
eosinophil count	EFO_0004842	30206357	Rare	Continuous	Immunological	Additional	Eosinophils percentage	0.83580077	SLSJ	1214.0	30206357	3	65080,6470,140775	-0.34957	1.077	12763.0	25.0	0.00525575	21.409308703703704	54.0	1393.0	40.964	1.026
HbA1c measurement	EFO_0004541	36809768	Rare	Continuous	Hematological	Additional	Glycated haemoglobin (HbA1c) measurement	0.7615627	UKB	392479.0	36809768	317	3739,2539,6708,11322,2157,164656,391112,3421,5973,9780,286,169026,100132963,341567,3897,343406,147138,6005,63892,6904,391114,23075,23230,5213,5871,26086,79634,54869,10019,57818,3581,51168,11183,272,3717,945,6239,25893,56172,5552,6006,6789,6710,63891,2035,51619,6521,493901,389840,10162,6833,6633,2639,28988,5198,116985,2876,5211,221264,85413,121273,170370,3630,147339,64951,169436,56005,78994,1001,54934,29956,54620,83986,29789,64599,55152,79022,558,79018,54814,1280,10400,9130,22899,51347,64780,2316,2040,1520,57649,140461,23499,5719,10095,121006,3652,219736,149483,51027,10898,5571,23139,10051,341568,8897,10869,8503,26024,9551,6523,339834,1950,375341,26762,9429,54870,51447,200942,84164,6865,2934,165,3043,284904,29989,80201,7157,5786,54790,51085,388931,286410,100861540,10903,50618,8567,196740,113746,150159,79707,83706,348,3626,1551,6799,80162,55793,388531,389792,142685,2995,22987,84226,23142,8091,11321,64114,811,5794,55930,5029,11214,23293,23410,930,125061,80169,9919,1951,5331,261729,10661,80270,1763,3570,89894,3659,8976,6945,327,1294,80321,60626,284086,3931,57405,84641,80304,2668,9340,124925,9703,9540,64122,7453,149428,26160,57542,7466,23218,3635,9187,7318,83637,8890,1029,115677,84627,126626,9131,4627,29990,1140,89122,2572,368,23460,4650,79841,3700,1798,23005,4582,25970,100287284,6621,65010,11273,6911,30848,6655,2956,57558,7301,3792,2990,4595,1312,1760,164633,1787,9726,23224,8448,8786,53,147912,9513,3837,9518,219477,23051,390157,85441,91624,6610,397,1801,126364,376267,84124,440955,7054,3681,55911,8972,79948,80157,3633,23386,79671,10767,4126,9731,2038,6567,79731,166752,339669,23066,3704,338,5589,390748,339105,90627,23173,627,10109,23526,81033,112755,646625,94137,84126,11085,6745,64170,29945,7142,57602,9212,9343,19,85865,128372,10347,83878,81392,7036,119749,80237,23248,23432,2923,84101,23495	0.19332	0.8734999999999999	28988.0	14.0	0.00853321	12.122030969444443	54.0	1581.0	56.635000000000005	1.026
total cholesterol measurement	EFO_0004574	36809768	Rare	Continuous	Lipid Measurement	Additional	Total Cholesterol measurement	1.0000002	UKB	393339.0	36809768	39	348,338,587,255738,23624,53345,3949,1463,9388,5817,728780,10087,134359,64241,11183,64240,23460,27329,343263,94039,256006,1071,2524,26762,23387,146894,3837,57678,84226,10019,169436,125931,4023,284612,11321,19,284358,6580,29881	0.0090477	1.06	36029.0	16.0	0.00274629	7.50994280185185	25.0	1546.0	49.467	1.015
urate measurement	EFO_0004531	36088354	Rare	Continuous	Renal	Additional	URATE measurement	1.0000002	UKB	182537.0	36088354	5	56606,5174,126133,9429,116449	-1.113	1.308	141478.0	17.0	0.000927153	5.042772338888888	35.0	1565.0	46.528	0.961
sex hormone-binding globulin measurement	EFO_0004696	34226706	Rare	Continuous	Endocrine	Additional	Biochemistry SHBG measurement	0.92382884	UKB	397043.0	34226706	35	9971,81579,9513,254863,5265,3083,84938,3171,11183,2538,10462,147179,84461,283600,8711,7494,84699,9784,3294,54908,643664,26137,5066,1109,79670,29982,3000,4286,162417,84316,29974,25794,51225,57521,6154	-0.36071	1.048	19423.0	17.0	0.00548033	8.562694074074072	50.0	1239.0	35.553	1.026
cystatin c measurement	EFO_0004617	34662886	Rare	Continuous	Renal	Additional	30720_cystatin_c_inst_mean__rint measurement	0.75578594	UKB	412028.597826087	34662886	20	1471,10019,5310,142680,4036,3717,9071,84952,25865,54790,27237,6569,4286,4763,6526,10725,64599,11136,128821,140628	-0.2531	0.9625	44276.0	27.0	0.01798845	9.195652037037036	50.5	1978.5	55.2915	1.0243333333333333
alkaline phosphatase measurement	EFO_0004533	37262146	Rare	Continuous	Metabolic	Additional	Alkaline_phosphatase measurement	0.9912072	UKB	402875.0	37262146	47	249,2822,8647,283375,1889,8431,948,5310,338,5105,57678,432,4864,2217,3643,6487,55334,248,6555,2538,89866,121340,166929,79143,80267,57589,4091,8871,27440,5373,148867,10142,9321,10221,2494,57710,6526,55741,1244,94015,8600,79882,4982,6942,4547,57534,22904	0.16868	0.808	64626.0	20.0	0.0173854	10.325143322222225	52.0	1623.0	54.419	1.026
HDL cholesterol change measurement	EFO_0007805	36088354	Rare	Continuous	Lipid Measurement	Additional	Hdl cholesterol (+1) measurement	0.8597269	UKB	168042.0	36088354	3	3931,949,4023	-0.12284	0.71	65542.0	52.0	0.0173401	36.2347762962963	54.0	1428.0	49.467	1.026
Alzheimer disease	MONDO_0004975	28539126	Rare	Categorical	Neurological	Additional	Alzheimer's disease	0.96921504	ADNI	818.0	28539126	9	2176,64864,57537,11124,23461,4689,79890,84879,2802	0.1779	0.863	157802.0	18.0	0.0375569	12.557389944444443	53.0	1979.0	66.85	1.026
bilirubin measurement	EFO_0004570	34226706	Rare	Continuous	Hematological	Additional	Biochemistry Total Bilirubin measurement	0.90086085	UKB	436055.0	34226706	23	54658,339766,54578,10599,54579,79054,54575,54577,54659,9970,8527,7076,9780,53919,645,29974,54657,26137,10019,7036,55054,6295,5066	-0.064301	0.961	60393.0	17.0	0.00185601	1.057578914814815	7.0	1605.0	46.445	1.008
low density lipoprotein cholesterol measurement	EFO_0004611	31367044	Rare	Continuous	Lipid Measurement	Additional	LDL-C measurement	0.8430097	Finnish	12519.0	31367044	8	3949,338094,255738,53345,338,4153,5473,348	-0.026451500000000003	1.2265000000000001	11701.0	43.5	0.002725315	3.0734094981481483	10.5	1305.5	43.108000000000004	0.7867500000000001
total blood protein measurement	EFO_0004536	34662886	Rare	Continuous	Metabolic	Additional	Total protein (30860) measurement	0.7776698	UKB	377953.76744186046	34662886	8	23495,85302,2217,23253,10788,23166,8741,608	-0.77391	0.929	30361.5	10.5	0.0035559850000000002	10.575230092592594	53.0	1581.5	68.407	0.8678125
triglyceride measurement	EFO_0004530	37262146	Rare	Continuous	Lipid Measurement	Additional	Triglycerides measurement	0.9784649	UKB	402541.0	37262146	33	338,51129,345,53345,3643,84699,5346,2538,3931,3990,5360,2621,5447,10062,79786,3083,4091,11183,5105,19,10749,9684,948,4018,3145,85302,5468,22937,91937,5046,9330,372,2217	-0.41034	0.963	30643.0	22.0	0.0125554	16.88886518518519	53.0	1491.0	45.518	1.026
platelet component distribution width	EFO_0007984	34662886	Rare	Continuous	Hematological	Additional	Platelet distribution width (30110)	0.8942852	UKB	418993.652892562	34662886	29	81027,3717,171023,163259,81704,2811,54790,948,6427,345,9342,116519,10788,342618,9909,140876,5777,51807,8328,80301,23215,116154,51379,80005,117143,2812,11200,4864,811	0.32089	0.871	47687.0	18.0	0.0146822	10.7978512962963	53.0	1398.0	46.641	1.026
IgF-1 measurement	EFO_0004627	34662886	Rare	Continuous	Endocrine	Additional	IGF 1 (30770) measurement	0.7740103	UKB	409902.6190476191	34662886	22	3483,145741,3486,60676,6755,3717,3480,95,2691,7559,126,2693,10846,55576,90864,23166,10765,5053,2244,3489,2538,50940	0.0108545	0.9155	17287.5	14.5	0.00542782	8.741634553240743	26.5	1249.0	40.945499999999996	1.026
monocyte count	EFO_0005091	34226706	Rare	Continuous	Immunological	Additional	Blood MONOCYTE COUNT	0.85917336	UKB	443529.0	34226706	31	23765,23495,9938,9294,1053,5341,7916,55248,57501,729230,5698,9550,2650,121599,79890,6954,1238,5310,405,83483,177,54620,7357,146206,114990,8416,79825,115650,6184,29886,259173	0.066751	0.921	30539.0	13.0	0.00925766	10.509851481481483	52.0	1329.0	41.795	1.025
lymphocyte count	EFO_0004587	34662886	Rare	Continuous	Immunological	Additional	Lymphocyte count (30120)	0.87840587	UKB	418425.7037037037	34662886	19	4851,3717,4615,23495,11200,8877,22821,10019,10235,7514,22904,7297,1106,5922,4794,64926,59307,23253,23451	-0.72048	0.848	46564.0	18.0	0.0248333	20.13723277777777	54.0	2181.0	70.817	1.026
red cell distribution width	EFO_0009188	34662886	Rare	Continuous	Hematological	Additional	30070_red_blood_cell_erythrocyte_distribution_width_inst_mean__rint	0.5435405	UKB	419168.27397260274	34662886	34	5589,3043,10661,171023,3313,345,164656,3717,10723,2766,948,5426,23451,10483,1677,7037,327,2035,811,9780,6521,7036,6427,6829,150274,5933,949,23367,6610,23253,94103,23479,5794,80325	0.13278	0.8885000000000001	34386.5	18.5	0.0116376	31.607481203703706	54.0	1919.0	77.303	1.0495555555555556
mean corpuscular hemoglobin	EFO_0004527	33257650	Rare	Continuous	Hematological	Additional	Mean corpuscular haemogliobin	0.8920897	UKB	487409.0	33257650	15	8360,7738,10661,8335,8339,8294,170680,8364,3012,2766,8969,11200,11120,3007,3017	-2.6925	1.85	1594.0	10.0	0.00323925	3.622445957407408	36.0	393.0	6.7147	1.026
platelet count	EFO_0004309	34226706	Rare	Continuous	Hematological	Additional	Blood PLATELET COUNT	0.9390065	UKB	444866.0	34226706	45	10019,81027,2815,4352,10788,3674,23495,5794,1589,2811,150468,578,283450,4650,8328,7805,163259,7297,345,11200,342618,7076,63901,388931,991,83463,64780,948,7916,147687,9342,613227,81579,117286,2538,5341,5739,170680,8877,7036,9718,29886,3195,2120,1621	0.468325	0.971	18069.0	18.0	0.00231983	7.522171870370369	38.0	1398.0	35.605	1.022
proteinuria	HP_0000093	GCST90250893	Common	Categorical	Renal	Initial	Proteinuria	1.0000005	other	1078.0	36399516	3	51084,7450,11173	0.21331	0.761	122207.0	19.0	0.00600684	40.94566314814814	51.0	5061.0	143.69	1.02225
neutrophil count	EFO_0004833	GCST90002355	Common	Continuous	Immunological	Initial	Neutrophil count	1.0000004	Airwave|BBJ|BioME|BioME|BioME|CaPS|Estonia|Estonia|FHS|FINCAVAS|GERA|GERA|GERA|GERA|GERA|HANDLS|INTERVAL|JHS|MESA|MESA|MESA|MHIphase1|MHIphase2|SHIPNATREND|UKB|UKB|UKB|UKB|WHI	627215.0	32888493	200	284110,2920,9586,1021,1441,5329,55636,3579,8698,10581,56952,9487,29091,2646,28,7015,10767,221037,56623,81671,7704,114548,3394,6310,22856,167465,1615,63892,202243,8794,8476,80762,607,3676,56848,92370,200734,23786,9679,2322,9768,10320,81704,55002,10336,11138,5596,1265,3683,23139,5062,64123,6387,29957,57580,85464,6101,266655,4641,51085,375190,6239,80790,10493,1373,9744,29941,9658,113263,10390,55213,91445,11030,79841,3172,6513,147339,945,23232,160140,23293,94,222389,987,56987,6711,821,11113,134957,100131017,2734,2242,3142,138065,2113,4217,10139,10666,51474,94039,118980,64324,7329,284615,161394,10057,54878,4601,9692,221395,719,2078,59269,10077,84268,57707,6829,29072,23030,9377,23095,4676,7128,64167,56521,23299,10867,80339,9124,23317,11214,84708,55843,1859,283349,51657,30845,64135,121665,25778,7003,124540,23090,64231,55544,29123,60468,55339,2975,57178,5310,81846,387893,129080,23236,51530,2317,2326,114327,4671,5786,57678,875,9051,80145,256227,63931,25816,391365,5116,3516,23092,4233,2932,27086,23161,126069,84166,10801,3096,81619,11200,9645,64759,28966,2768,7050,26112,80205,5184,23555,9938,10673,404636,221074,1525,445815,2070,55074,29785	0.278725	0.687	92952.0	15.0	0.0334255	11.432657592592593	53.0	1563.0	48.406	1.026
autism spectrum disorder	EFO_0003756	GCST007556	Common	Categorical	Psychiatric	Initial	Autism spectrum disorder	1.0000002		46350.0	30804558	20	55904,140733,374900,84830,8618,4137,5101,55857,284058,2589,100874028,8502,2550,3781,6251,23327,55568,51319,2103,2977	0.20612	0.683	226389.5	14.0	0.057317900000000005	7.274451814814816	50.5	1808.0	47.295	1.134
pulmonary tuberculosis	EFO_1000049	GCST90275073	Common	Categorical	Infection	Initial	Pulmonary tuberculosis	1.0000002	NR	2786.0	37009413	4	23040,5933,3909,4734	1.42205	0.748	216753.5	16.5	0.00997072	4.347082011944443	44.0	3352.5	111.055	1.0391249999999999
pulmonary embolism	EFO_0003827	GCST90278093	Common	Categorical	Cardiovascular	Initial	Pulmonary embolism	1.0000002	other	9475.0	37076872	7	2169,80320,54715,28,8632,9223,10257	-0.36479	0.859	153699.0	15.0	0.0175349	4.1970559629629625	19.0	1166.0	46.355	1.026
gastroesophageal reflux disease	EFO_0003948	GCST90000514	Common	Categorical	Gastrointestinal	Initial	Gastroesophageal reflux disease	1.0000002	UKB	602604.0	34187846	20	8379,64116,56853,1630,3899,5137,2066,64771,2918,84435,22986,57578,85004,56252,23373,3097,11122,5530,104,5101	0.060764	0.4155	349763.0	14.5	0.09779784999999999	5.6938310740740725	40.5	2468.0	64.07600000000001	1.1284999999999998
hypothyroidism	EFO_0004705	GCST90319320	Common	Categorical	Endocrine	Initial	Hypothyroidism	1.0000002	EB|FinnGen|UKBB	691986.0	39067062	67	6775,4026,60468,221178,7173,8635,114904,969,7038,10846,150280,10783,84159,7297,9744,8764,9159,2322,90355,126129,7098,10125,3633,53347,57661,3662,27161,8553,5878,10666,440574,5890,128178,4914,84071,23505,7042,23534,29941,921,3595,145508,57538,919,7133,3705,55647,22806,64771,2308,169792,2289,11177,4522,221937,57580,6721,63892,9736,5782,283234,3716,59338,814,337867,4772,28996	0.29607	0.664	99283.0	16.0	0.0290464	12.611711481481482	53.0	2034.0	64.09	1.026
Barrett's esophagus	EFO_0000280	GCST90000515	Common	Categorical	Gastrointestinal	Initial	Barrett's esophagus	1.0000002	UKB|EAC	56429.0	34187846	3	151449,23373,7111	-1.117	0.594	98655.0	23.0	0.0559469	19.736845740740733	53.0	1353.0	40.888	0.947
bacterial meningitis	EFO_1000831	GCST005010	Common	Categorical	Infection	Initial	Bacterial meningitis	1.0000002		83620.0	28928442	19	56934,1767,10725,288,8671,196951,5818,51167,155185,3784,776,9890,27065,8821,3084,375298,6536,9515,91522	0.4369	0.659	321490.0	22.0	0.0435776	4.267271544444444	39.0	1494.0	64.506	1.125
endometriosis	EFO_0001065	GCST90018839	Common	Categorical	Reproductive	Initial	Endometriosis	1.0000002	BBJ|UKB|FinnGen	314532.0	34594039	5	80129,157313,9687,54361,389072	0.4564	0.694	127176.0	5.0	0.024185	3.2577088796296296	22.0	2152.0	73.767	1.023
Varicose veins	HP_0002619	GCST90018939	Common	Categorical	Cardiovascular	Initial	Varicose veins	1.0000002	BBJ|UKB|FinnGen	638428.0	34594039	29	54897,9780,1879,4773,51564,6919,8406,466,81606,84159,84910,395,2778,54714,7328,284086,1140,10365,8470,23400,81846,8603,219699,8751,81704,5606,5890,6345,5575	-0.084562	0.692	90294.0	16.0	0.0360925	15.919407962962962	54.0	2079.0	71.706	1.054
mean corpuscular hemoglobin concentration	EFO_0004528	GCST90002332	Common	Continuous	Hematological	Initial	Mean corpuscular hemoglobin concentration	1.0000002	Airwave|BBJ|BioME|CaPS|CHS|CHS|Estonia|Estonia|FHS|FINCAVAS|HANDLS|INTERVAL|JHS|MESA|MHIphase1|MHIphase2|RS|RS|RSI|SHIP|SHIPNATREND|UKB|WHI|YFS	642173.0	32888493	90	164656,10767,8347,286,6521,6708,3042,25893,7036,26284,388588,84717,10260,2766,3783,28,4650,6563,23585,23075,10347,3842,92140,5198,80724,3043,9775,6513,84988,23205,221687,2035,7332,26100,9839,254102,150274,5062,91748,54498,54726,64778,23230,7203,4778,1879,5693,2590,26065,51571,1950,57707,4363,55062,1029,11214,54810,64420,999,23200,4218,54926,220972,440275,3557,64755,10436,55553,221395,23331,9489,23236,1798,115286,92346,27236,64123,896,79707,9943,6453,6239,144347,116028,10077,10057,54805,10664,51326,5029	0.11911	0.741	75587.0	16.0	0.02670345	14.523573888888887	54.0	1565.0	55.748	1.0282499999999999
