Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
systolic blood pressure	EFO_0006335	37262146	Rare	Continuous	Cardiovascular	Initial	Systolic_blood_pressure_automated_reading	0.68119156	UKB	386579.0	37262146	20	2242,4091,4881,2669,5972,2982,81578,7015,57623,3315,81846,8639,8216,4878,3636,79987,1104,9119,119392,6609	-0.39615	1.013	16104.5	22.5	0.00587181	13.062211203703704	51.5	1820.0	58.827	1.026
hypertension	EFO_0000537	34375979	Rare	Categorical	Cardiovascular	Initial	Hypertension	0.9999999	UKB	281104.0	34375979	31	5310,2242,2982,2297,2028,92235,284,221692,4846,9150,127733,23491,1788,5872,28999,23281,51547,2081,7103,81621,26341,85352,342125,55170,493,9780,139604,22834,54795,7511,8938	-0.08406	0.96	47190.0	20.0	0.0203752	8.55295905740741	50.0	1746.0	62.8195	1.023
cervical cancer	MONDO_0002974	34375979	Rare	Categorical	Neoplasm	Initial	Cervical cancer	1.0	UKB	281104.0	34375979	8	6786,2258,892,23233,2348,3235,6382,25909	0.030279	0.735	59644.0	23.0	0.0787151	14.96108233148148	45.5	925.5	24.891	1.073
allergic rhinitis	EFO_0005854	34375979	Rare	Categorical	Immunological	Initial	Other allergic rhinitis	0.94428396	UKB	269170.0	34375979	4	85453,10877,6397,1240	-0.544105	1.204	41027.0	10.5	0.01349009	10.69965249074074	47.0	1371.5	59.944	0.987
carpal tunnel syndrome	EFO_0004143	34375979	Rare	Categorical	Neurological	Initial	Carpal tunnel syndrome	0.99999976	UKB	215661.0	34375979	22	8458,3984,55008,79590,57722,1787,9353,94031,3607,79065,6548,81318,728568,23452,54952,55068,7581,1411,719,64963,148789,7029	0.245815	0.862	40527.5	9.5	0.013964945	9.057655277777776	52.5	1383.5	46.701	1.026
cholecystitis	HP_0001082	34375979	Rare	Categorical	Gastrointestinal	Initial	Cholecystitis	1.0	UKB	232115.0	34375979	21	219578,56244,55714,3782,80153,1303,10989,10241,221184,192111,147872,7402,7448,64902,11136,9551,7179,80352,643904,5176,3426	0.21309	1.038	50034.0	11.0	0.005025534999999999	14.013420555555555	43.0	1464.0	58.812	1.026
cholelithiasis	EFO_0004799	34375979	Rare	Categorical	Gastrointestinal	Initial	Cholelithiasis	1.0	UKB	208850.0	34375979	41	64240,5244,81693,203228,124583,219875,22905,9354,10795,6227,10269,53836,158763,25885,140890,841,22915,113419,347168,3697,26995,715,2016,130271,51669,138240,10210,80267,4800,7026,55335,10023,3176,9914,283870,64852,2719,3743,624,3672,1796	-0.020607	1.0025	26393.0	13.0	0.00560256	10.647669259259256	53.0	1235.0	35.8455	1.026
crohn's disease	EFO_0000384	34375979	Rare	Categorical	Gastrointestinal	Initial	Crohns disease	0.9757204	UKB	281104.0	34375979	3	64127,2157,54758	-1.63445	1.3864999999999998	69507.0	14.0	0.00106257	5.602021814814815	53.0	2832.0	71.543	1.015
androgenetic alopecia	EFO_0004191	34375979	Rare	Categorical	Other	Initial	Androgenic alopecia	0.9592285	UKB	184493.0	34375979	6	345778,3855,84062,133558,10087,130271	-0.84868	0.9855	102026.0	10.5	0.0030215800000000003	14.952885668518519	52.0	1589.5	40.2855	1.08
psoriasis vulgaris	EFO_1001494	34375979	Rare	Categorical	Dermatological	Initial	Psoriasis vulgaris	1.0000001	UKB	215900.0	34375979	7	84654,168975,22807,114826,10435,9540,1364	0.070331	1.402	33148.0	8.0	0.00266947	7.208555000000002	41.0	1238.0	13.488	0.9941666666666666
