trait_pair	EFO	Common Study	Rare Study	g_C	g_R	nShared	Log2SizeOE	J_RC	jaccard_zero	N_C	N_R	binary	Mean_Constraint	DiffRC_Constraint	Mean_GO	DiffRC_GO	Mean_GeneSize	DiffRC_GeneSize	Mean_mRNA	DiffRC_mRNA	Mean_nTissues	DiffRC_nTissues	density_R	density_C	assortativity_RC
31367044_EFO_0004458_GCST90029070_EFO_0004458	EFO_0004458	GCST90029070	31367044	145	4	1	1.3120901094128334	0.006756756756756757	0	575531.0	17927.0	0	0.046722791812080534	-1.4621099083458928	17.29530201342282	0.4888888888888889	88866.34899328859	-1.6541075109200964	15.299684559762614	1.1834400229357895	52.2751677852349	-0.6835443037974683	0.1666666666666666	0.0423371647509578	0.0045458801425668
34662886_EFO_0004458_GCST90029070_EFO_0004458	EFO_0004458	GCST90029070	34662886	145	4	2	1.5020532449567798	0.013605442176870748	0	575531.0	411217.3333333333	0	0.047079941879194634	-0.7900846732990329	17.29530201342282	0.4888888888888889	90793.15436241611	-0.12462458084268843	14.043241978653988	-0.4976413968117044	52.2751677852349	-0.6835443037974683	0.3333333333333333	0.0423371647509578	0.0043891559599535
36809768_EFO_0004458_GCST90029070_EFO_0004458	EFO_0004458	GCST90029070	36809768	145	168	33	1.6331678566740948	0.11785714285714285	0	575531.0	392480.0	0	0.02546540319488818	-1.5419364338773596	15.389776357827476	-0.1935483870967742	53331.79552715655	-1.2577583239069492	12.64369076681162	-0.22670137076908206	52.46325878594249	-0.01904761904761905	0.0379241516966067	0.0423371647509578	0.0058663396387908
37262146_EFO_0004458_GCST90029070_EFO_0004458	EFO_0004458	GCST90029070	37262146	145	12	2	1.236978876818026	0.012903225806451613	0	575531.0	401986.0	0	0.04495614840764331	-1.2790663877913306	18.37579617834395	0.6923076923076923	88589.96178343949	-0.43558716957922744	13.76208734977943	-0.49858832071905884	50.28662420382165	-1.0070921985815602	0.1818181818181818	0.0423371647509578	0.0054219421217135
34226706_EFO_0004468_GCST90018735_EFO_0004468	EFO_0004468	GCST90018735	34226706	10	5	0	1.7373570761636938	0.0	1	133336.0	400458.0	0	0.004584466666666666	-1.394748338273148	16.666666666666668	-0.7796610169491526	38942.0	-1.4449994025570558	3.649914394938271	-1.839055387304447	22.0	-1.7647058823529411	0.2	0.4222222222222222	0.01082004679882
34375979_EFO_0004468_GCST90018735_EFO_0004468	EFO_0004468	GCST90018735	34375979	10	3	0	-0.4117636787863328	0.0	1	133336.0	234928.0	0	0.007390515384615385	0.5395804721495381	17.384615384615383	-0.9818181818181818	45811.846153846156	-0.9874208188556468	6.736437816951565	0.7139450318140956	37.07692307692308	0.5116279069767442	0.0	0.4222222222222222	0.0058885381331594
36809768_EFO_0004468_GCST90018735_EFO_0004468	EFO_0004468	GCST90018735	36809768	10	49	1	1.259190159453038	0.017241379310344827	0	133336.0	359757.0	0	0.010188628813559322	0.5395804721495381	15.932203389830509	-0.30985915492957744	44477.338983050846	-0.2388991566620591	11.485819418863777	0.8147903084426623	49.440677966101696	0.49411764705882355	0.0773809523809523	0.4222222222222222	0.0077447351265411
37262146_EFO_0004468_GCST90018735_EFO_0004468	EFO_0004468	GCST90018735	37262146	10	9	0	0.6871938487661244	0.0	1	133336.0	368499.0	0	0.0060700400000000005	-0.08498479731263706	16.94736842105263	-0.44776119402985076	48931.57894736842	-0.22249173891369928	8.15701126159844	0.7097458682957906	42.421052631578945	0.5116279069767442	0.0277777777777777	0.4222222222222222	0.0072348938090673
34226706_EFO_0004468_GCST90018955_EFO_0004468	EFO_0004468	GCST90018955	34226706	67	5	1	1.2255485725650463	0.014084507042253521	0	448252.0	400458.0	0	0.030312156249999993	-1.8660516808241325	15.51388888888889	-0.56	71521.5	-1.5897689535787465	13.17665327479424	-1.9374136340461947	50.388888888888886	-1.8571428571428572	0.2	0.0850293984622342	0.0087303085087882
34375979_EFO_0004468_GCST90018955_EFO_0004468	EFO_0004468	GCST90018955	34375979	67	3	0	0.2568721606130357	0.0	1	448252.0	234928.0	0	0.03156835642857142	-0.9896951091163604	15.614285714285714	-0.782608695652174	73728.17142857143	-1.2246858206744806	14.022057306878308	-0.22206722125345432	54.0	0.0	0.0	0.0850293984622342	0.006913916002665
